shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
600275,21.4407,-157.81011,320033
600275,21.44085,-157.81003,320034
600275,21.440866,-157.810027,320035
600275,21.440866,-157.810027,330001
600275,21.44101,-157.81,330002
600275,21.44111,-157.81001,330003
600275,21.44121,-157.81004,330004
600275,21.4413,-157.81009,330005
600275,21.4414,-157.81017,330006
600275,21.44149,-157.81027,330007
600275,21.44155,-157.81039,330008
600275,21.44161,-157.81052,330009
600275,21.44166,-157.81063,330010
600275,21.44171,-157.81077,330011
600275,21.44177,-157.81089,330012
600275,21.44185,-157.81101,330013
600275,21.44192,-157.8111,330014
600275,21.442,-157.81117,330015
600275,21.44204,-157.81121,330016
600275,21.44232,-157.81144,330017
600275,21.44271,-157.81173,330018
600275,21.442813,-157.811808,330019
600275,21.442813,-157.811808,340001
600275,21.4432,-157.8121,340002
600275,21.44366,-157.81239,340003
600275,21.44423,-157.81272,340004
600275,21.44487,-157.81303,340005
600275,21.44552,-157.81333,340006
600275,21.44625,-157.81365,340007
600275,21.44783,-157.8143,340008
600275,21.448055,-157.814391,340009
600275,21.448055,-157.814391,350001
600275,21.44857,-157.8146,350002
600275,21.44878,-157.81467,350003
600275,21.44911,-157.8147,350004
600275,21.44956,-157.81472,350005
600275,21.44993,-157.81471,350006
600275,21.45005,-157.81471,350007
600275,21.45049,-157.81474,350008
600275,21.450563,-157.814756,350009
600275,21.450563,-157.814756,360001
600275,21.45063,-157.81477,360002
600275,21.45079,-157.81483,360003
600275,21.45112,-157.81495,360004
600275,21.45143,-157.81506,360005
600275,21.45217,-157.81534,360006
600275,21.45244,-157.81547,360007
600275,21.452621,-157.815565,360008
600275,21.452621,-157.815565,370001
600275,21.45305,-157.81579,370002
600275,21.45328,-157.81591,370003
600275,21.45377,-157.81619,370004
600275,21.45388,-157.81626,370005
600275,21.454,-157.81638,370006
600275,21.45407,-157.8165,370007
600275,21.45412,-157.81663,370008
600275,21.45414,-157.81682,370009
600275,21.45412,-157.81695,370010
600275,21.45404,-157.81717,370011
600275,21.45384,-157.81758,370012
600275,21.4537,-157.81786,370013
600275,21.45357,-157.81809,370014
600275,21.453555,-157.818115,370015
600275,21.453555,-157.818115,380001
600275,21.45346,-157.81827,380002
600275,21.45337,-157.81841,380003
600275,21.45328,-157.81854,380004
600275,21.45309,-157.81878,380005
600275,21.45287,-157.81903,380006
600275,21.45274,-157.81918,380007
600275,21.45265,-157.81934,380008
600275,21.4526,-157.8195,380009
600275,21.452481,-157.819976,380010
600275,21.452481,-157.819976,390001
600275,21.45247,-157.82002,390002
600275,21.4523,-157.82072,390003
600275,21.45228,-157.82088,390004
600275,21.45228,-157.82101,390005
600275,21.4523,-157.8212,390006
600275,21.45232,-157.82152,390007
600275,21.45232,-157.82174,390008
600275,21.45228,-157.82197,390009
600275,21.45222,-157.82211,390010
600275,21.45209,-157.82236,390011
600275,21.45202,-157.82251,390012
600275,21.45197,-157.82264,390013
600275,21.451962,-157.82268,390014
600275,21.451962,-157.82268,400001
600275,21.45195,-157.82274,400002
600275,21.45191,-157.82293,400003
600275,21.45188,-157.82315,400004
600275,21.45185,-157.82338,400005
600275,21.45184,-157.82352,400006
600275,21.45185,-157.82368,400007
600275,21.45186,-157.82374,400008
600275,21.45191,-157.82388,400009
600275,21.45205,-157.82414,400010
600275,21.45221,-157.8244,400011
600275,21.45233,-157.82454,400012
600275,21.45257,-157.82473,400013
600275,21.45272,-157.82484,400014
600275,21.45283,-157.82492,400015
600275,21.452831,-157.824921,400016
600275,21.452831,-157.824921,410001
600275,21.45307,-157.82512,410002
600275,21.45393,-157.82598,410003
600275,21.454081,-157.826122,410004
600275,21.454081,-157.826122,420001
600275,21.4541,-157.82614,420002
600275,21.45424,-157.82626,420003
600275,21.45433,-157.82634,420004
600275,21.45445,-157.82641,420005
600275,21.4549,-157.82664,420006
600275,21.45526,-157.82683,420007
600275,21.4559,-157.82715,420008
600275,21.456,-157.82723,420009
