route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_headsign_short,apc_trip_id,display_code,trip_serial_number,block
189,27692,5348126,AHUA LAGOON DRIVE SKYLINE STATION,0,310730,A0314,LAGOON DR STN,42861,A012,30063500,A-232
189,27692,5348131,AHUA LAGOON DRIVE SKYLINE STATION,0,310728,A0314,LAGOON DR STN,42784,A012,30063476,A-230
26,27692,5348133,MAKAHA TOWERS,0,310766,401429,MAKAHA TOWERS,48207,4092,30062603,C-660
10,27692,5348135,KALIHI KAI,0,309631,100101,KALIHI KAI,41115,1002,30066157,10-099
189,27692,5348138,AHUA LAGOON DRIVE SKYLINE STATION,0,310728,A0314,LAGOON DR STN,42764,A012,30063556,A-230
189,27692,5348139,AHUA LAGOON DRIVE SKYLINE STATION,0,310729,A0314,LAGOON DR STN,42831,A012,30063479,A-231
189,27692,5348140,AHUA LAGOON DRIVE SKYLINE STATION,0,310729,A0314,LAGOON DR STN,42823,A012,30063517,A-231
10,27692,5348143,KALIHI KAI,0,309631,100101,KALIHI KAI,41123,1002,30066167,10-099
25,27692,5348146,FOSTER VILLAGE - PEARLRIDGE,0,309896,320116,FOSTER VILLAGE,41463,3202,30064161,32-120
189,27692,5348150,AHUA LAGOON DRIVE SKYLINE STATION,0,310728,A0314,LAGOON DR STN,42768,A012,30063524,A-230
10,27692,5348151,KALIHI KAI,0,309631,100101,KALIHI KAI,41121,1002,30066168,10-099
189,27692,5348152,AHUA LAGOON DRIVE SKYLINE STATION,0,310733,A0314,LAGOON DR STN,42966,A012,30063523,A-235
189,27692,5348153,AHUA LAGOON DRIVE SKYLINE STATION,0,310730,A0314,LAGOON DR STN,42873,A012,30063458,A-232
25,27692,5348154,FOSTER VILLAGE - PEARLRIDGE,0,309896,320116,FOSTER VILLAGE,41466,3202,30064162,32-120
189,27692,5348156,AHUA LAGOON DRIVE SKYLINE STATION,0,310731,A0314,LAGOON DR STN,42885,A012,30063519,A-233
189,27692,5348158,AHUA LAGOON DRIVE SKYLINE STATION,0,310731,A0314,LAGOON DR STN,42909,A012,30063543,A-233
189,27692,5348160,AHUA LAGOON DRIVE SKYLINE STATION,0,310728,A0314,LAGOON DR STN,42780,A012,30063526,A-230
189,27692,5348161,AHUA LAGOON DRIVE SKYLINE STATION,0,310733,A0314,LAGOON DR STN,42958,A012,30063459,A-235
25,27692,5348162,FOSTER VILLAGE - PEARLRIDGE,0,309895,320116,FOSTER VILLAGE,41442,3202,30064163,32-119
189,27692,5348163,AHUA LAGOON DRIVE SKYLINE STATION,0,310732,A0314,LAGOON DR STN,42936,A012,30063487,A-234
13,27692,5348167,ST LOUIS HTS VIA KAPAHULU,0,309698,140070,ST LOUIS KAPAHUL,41348,1411,30066830,14-113
25,27692,5348170,FOSTER VILLAGE - PEARLRIDGE,0,309896,320116,FOSTER VILLAGE,41469,3202,30064171,32-120
189,27692,5348174,AHUA LAGOON DRIVE SKYLINE STATION,0,310731,A0314,LAGOON DR STN,42913,A012,30082823,A-233
189,27692,5348177,AHUA LAGOON DRIVE SKYLINE STATION,0,310733,A0314,LAGOON DR STN,42950,A012,30063467,A-235
25,27692,5348182,FOSTER VILLAGE - PEARLRIDGE,0,309895,320116,FOSTER VILLAGE,41439,3202,30064170,32-119
189,27692,5348184,AHUA LAGOON DRIVE SKYLINE STATION,0,310729,A0314,LAGOON DR STN,42839,A012,30082822,A-231
189,27692,5348187,AHUA LAGOON DRIVE SKYLINE STATION,0,310729,A0314,LAGOON DR STN,42811,A012,30063532,A-231
25,27692,5348188,FOSTER VILLAGE - PEARLRIDGE,0,309895,320116,FOSTER VILLAGE,41445,3202,30064172,32-119
25,27692,5348190,FOSTER VILLAGE - PEARLRIDGE,0,309895,320117,FOSTER VILLAGE,41457,3202,30064177,32-119
25,27692,5348192,FOSTER VILLAGE - PEARLRIDGE,0,309896,320116,FOSTER VILLAGE,41481,3202,30064167,32-120
189,27692,5348193,AHUA LAGOON DRIVE SKYLINE STATION,0,310728,A0314,LAGOON DR STN,42788,A012,30063485,A-230
189,27692,5348195,AHUA LAGOON DRIVE SKYLINE STATION,0,310730,A0314,LAGOON DR STN,42857,A012,30063534,A-232
13,27692,5348199,ST LOUIS HTS VIA KAPAHULU,0,309698,140114,ST LOUIS KAPAHUL,41315,1411,30066849,14-113
25,27692,5348200,FOSTER VILLAGE - PEARLRIDGE,0,309895,320116,FOSTER VILLAGE,41433,3202,30064169,32-119
189,27692,5348201,AHUA LAGOON DRIVE SKYLINE STATION,0,310733,A0314,LAGOON DR STN,42954,A012,30063494,A-235
26,27692,5348205,MAKAHA TOWERS,0,309927,401429,MAKAHA TOWERS,46012,4092,30062647,40-501
13,27692,5348207,ST LOUIS HTS VIA KAPAHULU,0,309699,140114,ST LOUIS KAPAHUL,41355,1411,30066850,14-114
25,27692,5348208,FOSTER VILLAGE - PEARLRIDGE,0,309895,320116,FOSTER VILLAGE,41436,3202,30064176,32-119
189,27692,5348209,AHUA LAGOON DRIVE SKYLINE STATION,0,310731,A0314,LAGOON DR STN,42897,A012,30063501,A-233
26,27692,5348212,MAKAHA TOWERS,0,310122,401427,MAKAHA TOWERS,46794,4092,30062590,52-551
26,27692,5348213,MAKAHA TOWERS,0,309931,401429,MAKAHA TOWERS,46053,4092,30062656,40-505
26,27692,5348214,MAKAHA TOWERS VIA AIRPORT,0,310098,401466,MAKAHA TOWERS VIA AIRPORT,46791,4097,30062593,51-550
13,27692,5348215,ST LOUIS HTS VIA KAPAHULU,0,309698,140114,ST LOUIS KAPAHUL,41327,1411,30066855,14-113
26,27692,5348218,MAKAHA TOWERS VIA AIRPORT,0,309940,401469,MAKAHA TOWERS VIA AIRPORT,46142,4097,30062638,40-514
13,27692,5348223,ST LOUIS HTS VIA KAPAHULU,0,309699,140114,ST LOUIS KAPAHUL,41367,1411,30066856,14-114
